Date,Volume_stock,Adj_Close_stock,HiLo_vola_stock,Pct_change_stock,Pct_change_stock_scaled,Favs,RTs,Followers,Following,Is a RT,compound,neg,pos,Compound_multiplied,Compound_multiplied_scaled,Predicted_change_stock,Buy/Sell,KNN,LogReg,SVM linear,Decision Tree,Random Forest,KNN(Multiple Input),LogReg(Multiple Input),SVM linear(Multiple Input),Decision Tree(Multiple Input),Random Forest(Multiple Input)
2016-05-28 00:00:00,8834950,30.79860258,1.565605589,0.244653206,0.415783633,3,1.6,1502.421053,569.6315789,0.368421053,-0.131760353,0.565880175,0.434119819,-308.0824825,-0.023177173,0.33108098,1,-1,-1,-1,1,1,-1,-1,-1,1,1
2016-05-29 00:00:00,9096200,30.86172581,1.732175554,0.33108098,0.464961692,1.25,2.2,2408.571429,1075.842105,0.19047619,-0.084070542,0.542035268,0.457964726,177.4285504,-0.010642097,0.417508753,1,-1,-1,-1,1,1,1,-1,-1,1,1
2016-05-30 00:00:00,9357450,30.92484903,1.89874552,0.417508753,0.514139752,1,2.966336199,2012.52381,485.1666667,0,0.208201962,0.395899021,0.604100984,284.1757816,-0.007886063,0.503936527,1,-1,-1,-1,1,1,-1,-1,-1,1,-1
2016-05-31 00:00:00,9618700,30.98797226,2.065315485,0.503936527,0.563317812,1.2,1,2576,667.5909091,0,0.15097168,0.424514162,0.575485842,404.2082697,-0.004787027,0.03130942,1,-1,-1,-1,1,1,1,-1,-1,1,1
2016-06-01 00:00:00,6415500,31.02681351,1.708195974,0.03130942,0.294389398,1.865524286,1,2572.4375,1371.84375,0.0625,0.218687431,0.390656288,0.60934372,729.6076679,0.003614237,0,1,1,-1,-1,1,1,1,-1,-1,1,-1
2016-06-02 00:00:00,6813300,30.7549057,1.593241013,0,0.2765741,1,1,2210.606061,1477.636364,0,0.212291824,0.39385409,0.606145911,814.6232349,0.005809195,-2.469137964,-1,1,-1,-1,-1,-1,1,-1,-1,1,-1
2016-06-03 00:00:00,12424100,29.91975021,4.110995357,-2.469137964,-1.128384157,1.25,3.344827586,7287.238636,4569.788235,0.227272727,-0.101312924,0.550656462,0.449343539,-100.0392552,-0.017805847,-1.115272169,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1
2016-06-04 00:00:00,11061200,30.06541697,3.750872791,-1.115272169,-0.358024236,1.25,2.3,4984.241379,3493.931034,0.24137931,-0.028213932,0.514106963,0.485893034,-265.9186327,-0.022088573,0.238593626,1,1,-1,-1,1,-1,1,-1,-1,1,1
2016-06-05 00:00:00,9698300,30.21108373,3.390750224,0.238593626,0.412335686,1,1.166666667,3083.482759,2183.814815,0.103448276,-0.034342181,0.517171089,0.482828909,-1299.482577,-0.048773451,1.592459421,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2016-06-06 00:00:00,8335400,30.35675049,3.030627658,1.592459421,1.182695607,1.285714286,1.2,1935.741935,982.7717391,0.086021505,0.070745211,0.464627394,0.535372606,60.90067274,-0.01365065,2.860780522,1,1,-1,-1,1,1,1,-1,-1,1,1
2016-06-07 00:00:00,12424200,31.42496872,5.632459228,2.860780522,1.904379947,2.222222222,8.543478261,29033.31613,1249.805195,0.206451613,0.22452477,0.387737614,0.612262384,-5828.232189,-0.165698127,-0.367768136,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2016-06-08 00:00:00,8173100,31.57063103,2.375625623,-0.367768136,0.067311237,1.222222222,3.071428571,1287.329114,623.5384615,0.101265823,0.005990191,0.497004906,0.502995096,-196.2774588,-0.020290556,3.565896204,1,-1,-1,-1,1,1,-1,-1,-1,-1,1
2016-06-09 00:00:00,8188300,32.43491745,4.100524791,3.565896204,2.305596127,2.066666667,2.4375,3287.977528,566.2528736,0.123595506,0.144091989,0.427954002,0.572045991,886.5964599,0.007667423,1.036585855,1,1,-1,-1,1,1,-1,-1,-1,1,-1
2016-06-10 00:00:00,8252300,32.18242645,2.610120632,1.036585855,0.866399326,2.125,2.5,1829.946108,1313.407407,0.083832335,0.153641578,0.42317921,0.576820789,417.5203935,-0.00444333,-0.51132973,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1
2016-06-11 00:00:00,8576733.333,31.74866613,3.197282724,-0.51132973,-0.0143764,5.666666667,6.666666667,5051.16129,795.4666667,0.419354839,-0.057188272,0.528594136,0.471405866,-365.311262,-0.024654723,-2.059245315,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2016-06-12 00:00:00,8901166.667,31.3149058,3.784444816,-2.059245315,-0.895152126,1,5,1793.545455,1427.761905,0.045454545,0.188474639,0.405762678,0.594237319,1104.855246,0.013302496,-3.6071609,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
2016-06-13 00:00:00,9225600,30.88114548,4.371606908,-3.6071609,-1.775927852,1.8,10.6,6803.033613,552.8571429,0.168067227,0.05046443,0.474767783,0.525232215,-4421.36737,-0.129375251,-4.558311474,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2016-06-14 00:00:00,13802900,29.48275375,6.614032298,-4.558311474,-2.317139754,2.076923077,3.965517241,8343.198582,1634.832117,0.127659574,-0.091170259,0.545585131,0.454414872,4356.227466,0.097247443,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
